,Date,Q,SWE,SWE_scaled
0,2018-11,311.825,3.9667151397640974,51297.16351591533
1,2018-12,291.229,5.606721602843755,72505.56309581515
2,2019-01,706.486,6.770075941185976,87549.94506382292
3,2019-02,309.927,4.831152043948942,62475.975117143316
4,2019-03,400.258,5.469381160122799,70729.49022459202
5,2019-04,697.25,5.404750363548231,69893.69122636937
6,2019-05,532.255,4.637259654225239,59968.57812247536
7,2019-11,407.122,5.525933107125545,71460.81434803683
8,2019-12,337.874,5.178542575537244,66968.39473259008
9,2020-01,1123.538,7.472935853934399,96639.25916949425
10,2020-02,1174.474,6.939731782194215,89743.91743415737
11,2020-03,646.226,6.689287445467765,86505.19631604459
12,2020-04,497.234,4.701890450799806,60804.37712069801
13,2020-05,174.148,3.473905315883018,44924.1961544676
14,2020-06,201.718,3.9667151397640974,51297.16351591533
15,2020-07,196.274,4.378736467926967,56625.382129584745
16,2020-12,191.431,3.6435611568912583,47118.16852480206
17,2021-01,209.91,3.894005493617709,50356.889642914844
18,2021-02,275.644,5.5016965584100825,71147.38972370334
19,2021-03,344.725,5.590563903700113,72296.61334625949
20,2021-04,647.454,5.622879301987397,72714.51284537082
21,2021-05,253.545,3.4658264663111975,44819.72127968977
22,2021-06,303.962,4.354499919211504,56311.957505251245
23,2021-07,231.202,3.5546938116012283,45968.94490224592
24,2021-08,98.88,3.5708515107448697,46177.89465180158
25,2021-09,196.604,3.894005493617709,50356.889642914844
26,2021-10,78.83,3.65164000646308,47222.6433995799
27,2021-11,27.095,2.7952819518500567,36148.306673129744
28,2021-12,75.825,3.514299563742123,45446.57052835676
29,2022-01,189.266,4.65341735336888,60177.527872031016
30,2022-02,165.229,5.194700274680885,67177.34448214574
31,2022-03,559.86,6.099531426724834,78878.53045726288
32,2022-04,598.466,5.970269833575699,77206.93246081758
33,2022-05,93.372,4.225238326062368,54640.35950880594
34,2022-06,45.717,3.231539828728389,41789.94991113265
35,2022-07,47.748,3.578930360316691,46282.369526579416
36,2022-08,318.062,3.2800129261593147,42416.799159799644
37,2022-09,280.971,4.564550008078849,59028.304249474866
38,2022-10,23.18,3.231539828728389,41789.94991113265
39,2022-11,45.01,3.207303280012926,41476.52528679916
40,2022-12,290.457,4.128292131200517,53386.661011471966
41,2023-01,461.262,6.438843108741316,83266.47519793182
42,2023-02,933.595,7.860720633381807,101654.05315883018
43,2023-03,213.527,5.841008240426563,75535.33446437227
44,2023-04,504.502,5.865244789142026,75848.75908870576
45,2023-05,121.47,4.039424785910486,52237.437388915816
46,2023-06,245.242,4.176765228631442,54013.510260138944
47,2023-07,157.423,4.0878978833414115,52864.286637582794
48,2023-08,22.71,2.9649377928582967,38342.27904346421
49,2023-09,14.383,2.690256907416384,34790.13330101794
50,2023-10,13.413,2.068185490386169,26745.5679431249
51,2023-11,19.507,2.32670867668444,30088.763936015508
