,Date,Q,SWE,SWE_scaled
0,2018-08,217.948,3.819389530286257,47997.1224102483
1,2018-09,542.805,4.349201328483314,54655.10833465127
2,2018-10,316.527,4.048711054879013,50878.9372133481
3,2018-11,444.829,4.080341609995256,51276.428910327384
4,2018-12,485.003,5.013442985924403,63002.4339712162
5,2019-01,458.211,3.9696346670884073,49885.20797089989
6,2019-02,295.263,3.7086825873794083,46605.90147082081
7,2019-03,388.817,4.823659655226949,60617.483789340506
8,2019-04,344.313,5.005535347145342,62903.06104697137
9,2019-05,126.101,3.1314249565079866,39351.678000948916
10,2019-06,116.312,3.827297169065317,48096.49533449312
11,2019-07,53.19,5.242764510517159,65884.24877431599
12,2019-08,61.804,4.0566186936580735,50978.31013759292
13,2019-09,41.193,4.1594179977858605,52270.15815277558
14,2019-10,34.305,5.851652696504823,73535.96394116717
15,2019-11,51.905,7.362011703305393,92516.19247192789
16,2019-12,183.246,4.2147714692392855,52965.76862248933
17,2020-01,248.695,3.9617270283093466,49785.83504665507
18,2020-02,472.002,4.665506879645738,58630.0253044441
19,2020-03,145.183,3.5188992566819546,44220.95128894512
20,2020-04,95.72,5.013442985924403,63002.4339712162
21,2020-05,278.235,3.5268068954610152,44320.324213189946
22,2020-06,288.303,4.5231693816226475,56841.312668037324
23,2020-07,67.997,3.7165902261584693,46705.27439506564
24,2020-08,187.978,5.2981179819705835,66579.85924402974
25,2020-09,134.382,4.744583267436344,59623.754546892305
26,2020-10,153.97,4.096156887553377,51475.174758817026
27,2020-11,333.26,4.167325636564922,52369.5310770204
28,2020-12,365.442,4.4757235489482845,56245.07512256841
29,2021-01,357.641,3.9538193895302864,49686.46212241025
30,2021-02,556.668,5.883283251621066,73933.45563814645
31,2021-03,366.301,4.618061046971374,58033.78775897517
32,2021-04,134.165,4.088249248774316,51375.8018345722
33,2021-05,52.313,5.179503400284675,65089.26538035743
34,2021-06,79.429,4.594338130634193,57735.668986240715
35,2021-07,111.112,4.823659655226949,60617.483789340506
36,2021-08,52.697,3.613790922030682,45413.42637988297
37,2021-09,51.039,4.9422742369128585,62108.07765301282
38,2021-10,41.072,4.507354104064527,56642.5668195477
39,2021-11,29.086,4.483631187727345,56344.448046813224
40,2021-12,34.692,4.372924244820497,54953.22710738574
41,2022-01,192.417,4.175233275343982,52468.90400126522
42,2022-02,86.72,3.368654119879804,42332.86572829354
43,2022-03,264.552,4.017080499762771,50481.44551636881
44,2022-04,135.402,5.266487426854341,66182.36754705045
45,2022-05,83.69,3.906373556855923,49090.22457694133
46,2022-06,30.678,3.73240550371659,46904.02024355528
47,2022-07,44.175,4.950181875691919,62207.45057725764
48,2022-08,34.448,5.076704096156887,63797.417365174755
49,2022-09,33.635,6.0256207496441565,75722.16827455323
50,2022-10,41.859,4.309663134588012,54158.243713427175
51,2022-11,42.835,5.377194369761189,67573.58848647794
52,2022-12,149.759,4.68922979598292,58928.14407717856
53,2023-01,164.018,4.412462438715799,55450.09172860984
