,Date,Q,SWE,SWE_scaled
0,2018-08,6250.547,6.905601775090814,6739867.332488634
1,2018-09,4917.967,6.399637357548596,6246046.06096743
2,2018-10,5509.455,7.049168109457417,6879988.074830439
3,2018-11,13234.264,8.863235655279514,8650517.999552805
4,2018-12,26408.588,10.766131052237373,10507743.906983675
5,2019-01,31693.157,11.69973987002054,11418946.113140047
6,2019-02,39146.119,11.835852973411514,11551792.502049638
7,2019-03,42409.756,12.022305931916568,11733770.58955057
8,2019-04,37702.941,11.697907108305222,11417157.337705895
9,2019-05,31067.555,10.50404612694685,10251949.019900126
10,2019-06,22967.551,8.740440620353185,8530670.04546471
11,2019-07,12387.879,6.863936992095909,6699202.5042856075
12,2019-09,3898.4,5.815475106819462,5675903.704255795
13,2019-10,5416.48,5.885853156687686,5744592.680927182
14,2019-11,8105.831,6.473803114961811,6318431.840202727
15,2019-12,18666.088,9.45924976510104,9232227.770738615
16,2020-01,29757.595,10.06369457881303,9822165.908921517
17,2020-02,33771.542,10.429147264847508,10178847.730491167
18,2020-03,33409.944,9.200830363241154,8980010.434523366
19,2020-04,31837.908,9.182380561973616,8962003.42848625
20,2020-05,21518.933,7.819783318691603,7632108.519043004
21,2020-06,12827.58,7.265556175979336,7091182.827755832
22,2020-07,9634.35,6.660256073466863,6500409.927703658
23,2020-08,5585.336,5.819507182593163,5679839.010210927
24,2020-09,4850.089,5.375612295143059,5246597.600059626
