,Date,Q,SWE,SWE_scaled
0,2019-07,66.81,3.785230430384286,33310.02778738172
1,2019-08,59.289,3.6046764754843585,31721.152984262357
2,2019-09,55.135,3.885111341605522,34188.97980612859
3,2019-10,65.195,4.293598658010321,37783.668190490826
4,2019-11,64.727,4.139935717669958,36431.43431549563
5,2019-12,68.751,4.04773795346574,35620.09399049851
6,2020-01,89.825,4.078470541533812,35890.54076549754
7,2020-02,95.281,3.9491375667473396,34752.41058737659
8,2020-03,155.515,4.481835759927266,39440.15468735994
9,2020-04,128.927,4.173229354743703,36724.41832174458
10,2020-05,92.313,4.124569423635921,36296.21092799611
