,Date,Q,SWE,SWE_scaled
0,2018-08,20.947,1.3578441612701064,176383.9565489868
1,2018-09,18.534,1.1080356521133625,143933.8312095258
2,2018-10,20.434,1.2943040178260568,168130.09191560477
3,2018-11,22.845,1.1358888656778776,147551.9636515563
4,2018-12,39.862,1.4544599958220181,188934.35345728014
5,2019-01,375.544,1.4196434788663743,184411.68790474202
6,2019-02,5982.823,2.065489868393566,268307.1339043242
7,2019-03,207.067,1.501462293712137,195039.9519532066
8,2019-04,303.872,1.4518487570503447,188595.15354083976
9,2019-05,53.66,1.4501079312025624,188369.02026321285
10,2019-06,26.409,1.9122971937887332,248407.40547315645
11,2019-07,41.77,2.027191699742358,263332.2017965323
12,2019-08,21.058,1.5180001392660678,197188.2180906622
13,2019-09,20.411,1.381345310215166,179436.75579695008
14,2019-10,20.926,1.453589582898127,188821.28681846667
15,2019-11,25.346,1.2185780934475314,158293.29433883433
16,2019-12,28.88,1.0697374834621545,138958.89910173387
17,2020-01,76.538,1.128925562286749,146647.43054104867
18,2020-02,143.201,1.3413063157161758,174235.69041153122
19,2020-03,430.582,1.3665482905090174,177514.62293712137
20,2020-04,26.873,1.35262168372676,175705.5567161061
21,2020-05,20.397,1.546723765754474,200919.41717150615
22,2020-06,18.68,1.4675161896803843,190630.35303948194
23,2020-07,18.808,1.7112318083698908,222289.01190724882
24,2020-08,14.09,1.1506858853840263,149474.09651138503
25,2020-09,23.318,1.2168372675997492,158067.16106120741
26,2020-10,26.649,1.110646890885036,144273.03112596617
27,2020-11,29.374,1.0149014692570155,131835.7008564863
28,2020-12,38.537,1.2638395654898684,164172.75955713392
29,2021-01,2068.115,2.1264187730659425,276221.7986212659
30,2021-02,446.348,1.751270802868881,227490.07729266764
31,2021-03,393.324,1.500591880788246,194926.88531439315
32,2021-04,61.341,1.537149223591672,199675.68414455818
33,2021-05,79.761,1.7399554348582968,226020.21098809276
34,2021-06,25.674,1.7216767634565837,223645.81157301023
35,2021-07,27.557,1.6346354710674744,212339.14769166493
36,2021-08,28.513,1.5049439454077014,195492.2185084604
37,2021-09,17.313,1.5197409651138498,197414.3513682891
38,2021-10,22.369,1.1472042336884618,149021.8299561312
39,2021-11,33.032,1.3787340714434928,179097.55588050972
40,2021-12,42.797,1.2473017199359375,162024.49341967827
41,2022-01,51.635,1.1976881832741453,155579.69500731147
42,2022-02,467.039,1.3352134252489383,173444.22393983707
43,2022-03,154.361,0.9800849523013718,127313.0353039482
44,2022-04,80.013,1.1567787758512638,150265.56298307917
45,2022-05,966.906,1.7408258477821879,226133.2776269062
46,2022-06,46.136,1.4239955434858298,184977.0210988093
47,2022-07,358.318,1.927964626418773,250442.60497179863
48,2022-08,17.414,1.35262168372676,175705.5567161061
49,2022-09,17.062,1.4762203189192953,191761.01942761647
50,2022-10,27.458,1.3473992061834135,175027.1568832254
51,2022-11,37.255,1.3221572313905716,171748.22435763525
52,2022-12,407.278,1.3508808578789777,175479.4234384792
53,2023-01,1655.614,1.7199359376088015,223419.67829538332
54,2023-02,1252.316,1.5240930297333055,197979.6845623564
55,2023-03,159.251,1.2412088294686998,161233.0269479841
56,2023-04,51.27,1.1811503377202146,153431.42886985588
57,2023-05,23.307,1.1837615764918878,153770.62878629623
58,2023-06,15.394,1.2525241974792842,162702.89325255904
59,2023-07,20.342,1.3125826892277697,170504.49133068728
