,Date,Q,SWE,SWE_scaled
0,2018-08,0.237,4.68197000923886,26958.783313197357
1,2018-09,0.187,4.079312060265795,23488.678843010446
2,2018-10,0.143,5.006040793120603,28824.78288678843
3,2018-11,0.103,4.527041432733992,26066.704569682326
4,2018-12,0.069,4.987563072986995,28718.388174259115
5,2019-01,0.041,5.603013289744865,32262.150522350934
6,2019-02,0.024,4.269774713950679,24585.362802928008
7,2019-03,0.012,4.38632648710113,25256.467912728305
8,2019-04,17.96,7.396773505792055,42590.62184635065
9,2019-05,0.653,5.776419586383342,33260.623978395284
10,2019-06,0.0,4.9648212635917846,28587.440835761496
11,2019-07,0.001,5.277521142775922,30387.96674010376
12,2019-08,0.004,4.7715158837325,27474.388458531732
13,2019-09,0.007,4.527041432733992,26066.704569682326
14,2019-10,0.011,4.508563712600384,25960.30985715301
15,2019-11,0.014,5.330111577002345,30690.7824603795
16,2019-12,0.017,5.5163101414256275,31762.913794328764
17,2020-01,9.519,5.651339634709687,32540.413616658378
18,2020-04,0.367,6.214199417241134,35781.36024447445
19,2020-05,0.617,5.3926515528391725,31050.887641247955
20,2020-06,0.0,5.385544737403169,31009.966597967446
21,2020-07,0.0,5.0344680548646155,28988.467059910457
22,2021-01,46.134,5.664131902494493,32614.07149456329
23,2021-02,4.05,5.500675147466421,31672.88749911165
24,2021-03,1.209,4.701869092459669,27073.362234382774
25,2021-04,0.765,4.832634496482126,27826.309430744084
26,2021-05,0.0,5.270414327339918,30347.04569682325
27,2021-12,57.814,8.15862412053159,46977.35768602089
28,2022-01,109.063,7.510482552768105,43245.358538838744
29,2022-02,48.833,6.484258403809252,37336.35988913367
30,2022-03,2.188,4.875275389098145,28071.83569042712
31,2022-04,39.634,8.151517305095586,46936.43664274039
32,2022-05,19.166,7.875772866178665,45348.70016345676
33,2022-06,3.065,8.468481273541325,48761.51517305095
34,2022-07,2.072,7.631298415180157,43941.01627460735
35,2022-08,1.071,6.174401250799517,35552.20240210362
36,2022-09,0.63,4.838319948830929,27859.046265368488
37,2022-10,0.237,4.888067656882951,28145.493568332033
38,2022-11,110.532,8.781181152725463,50562.041077393216
39,2022-12,54.743,7.92978466349229,45659.70009238861
40,2023-01,5.945,4.866747210574942,28022.730438490515
41,2023-02,63.53,7.257479923246393,41788.56939805273
42,2023-03,2.266,5.766470044772937,33203.33451780257
43,2023-04,0.598,5.291734773647929,30469.808826664776
44,2023-05,0.719,6.616445170918911,38097.491294151085
45,2023-06,0.716,5.830431383696966,33571.62390732713
46,2023-07,0.933,5.730935967592922,32998.729301400046
47,2023-08,0.988,5.070002132044631,29193.072276312985
48,2023-09,0.957,4.93070854949897,28391.01982801507
