,Date,Q,SWE,SWE_scaled
0,2018-08,3.135,4.232199441494364,200606.25352683285
1,2018-09,2.629,4.9296080332209575,233663.42077467337
2,2018-10,3.463,5.673317610290394,268915.2547277647
3,2018-11,7.374,5.041019779202176,238944.33753418314
4,2018-12,42.184,5.683445950834141,269395.3380695383
5,2019-01,36.336,3.144126285937523,149031.5859534386
6,2019-02,62.515,2.0126459566217645,95399.41834387164
7,2019-03,8.242,2.5393196648966185,120363.75211609971
8,2019-04,28.439,2.3237307018939997,110144.83526977559
9,2019-05,3.674,4.721253599178158,223787.42060104467
10,2019-06,3.301,5.109024351424479,242167.75425752028
11,2019-07,3.286,4.815302475655811,228245.33734608543
12,2019-08,2.889,5.731193841968949,271658.5881093282
13,2019-09,2.455,4.647461403787999,220289.67053955118
14,2019-10,2.093,4.262584463125606,202046.5035521537
15,2019-11,2.044,4.512899165135358,213911.42042741596
16,2019-12,1.984,3.77642411702574,179002.5031470201
17,2020-01,11.706,4.336376658515764,205544.25361364722
18,2020-02,53.059,4.793598888776351,227216.58732799906
19,2020-03,138.999,4.4058281365300305,208836.25367152345
20,2020-04,22.528,3.011010953076845,142721.91917584246
21,2020-05,3.374,5.417215285112786,256776.00451434607
22,2020-06,3.149,3.4233791037865524,162268.1695194826
23,2020-07,2.862,4.125128412889037,195531.08677094034
24,2020-08,2.679,3.460998654377614,164051.3362174989
25,2020-09,2.359,5.080086235585201,240796.0875667385
26,2020-10,2.268,5.641485682867189,267406.42136790475
27,2020-11,2.529,4.249562310997931,201429.2535413019
28,2020-12,55.384,7.066687887951615,334961.00588890654
29,2021-01,255.951,2.265854470215444,107401.50188821205
30,2021-02,1338.23,3.3958878937392383,160965.0861632399
31,2021-03,538.155,2.34254047718953,111036.41861878373
32,2021-04,37.662,1.9171501743521482,90872.91826429182
33,2021-05,5.534,2.2195534848725997,105206.83518296122
34,2021-06,2.958,4.03686715957924,191347.50336405597
35,2021-07,2.547,3.2555380319187415,154312.50271294834
36,2021-08,2.222,3.9182208846382007,185723.66993185072
37,2021-09,1.953,3.999247608988179,189564.3366660397
38,2021-10,1.868,5.857074645869807,277625.33821422886
39,2021-11,1.851,4.120787695513145,195325.33676732305
40,2021-12,41.221,3.818384384992693,180991.41984865363
41,2022-01,452.1,3.397334799531203,161033.66949777902
42,2022-02,104.444,1.980814029198559,93890.5849840117
43,2022-03,6.483,1.9837078407824866,94027.75165308987
44,2022-04,2.665,2.7809529321545874,131817.16898412743
45,2022-05,2.16,2.9039399244715174,137646.75241994992
46,2022-06,2.148,5.744215994096624,272275.83812018
47,2022-07,2.335,3.3177549809731888,157261.58609812913
48,2022-08,2.129,3.1267634164339557,148208.5859389695
49,2022-09,1.901,3.649096407332918,172967.16970758032
50,2022-10,1.827,4.549071809934455,215626.00379089318
51,2022-11,4.984,6.169606296934007,292439.33847467194
52,2022-12,33.97,5.446153400952064,258147.67120512784
53,2023-01,88.567,5.042466684994141,239012.92086872226
54,2023-02,295.702,4.486854860880008,212676.9204057124
55,2023-03,751.138,5.590843980148453,265006.00465903664
56,2023-04,25.6,3.7836586459855597,179345.41981971552
