,Date,Q,SWE,SWE_scaled
0,2018-08,44.493,10.445622976789034,70748.20442179212
1,2018-09,10.766,10.59026103726152,71727.83800537228
2,2018-10,3.814,11.969143880432537,81067.01150216957
3,2018-11,1.066,11.816240787933054,80031.39885667058
4,2018-12,0.583,11.604104965906743,78594.60293408636
5,2019-01,0.191,11.425029271988429,77381.72325917763
6,2019-02,0.056,12.440250705971485,84257.81803154487
7,2019-03,0.151,11.653695158068738,78930.47730559956
8,2019-04,0.211,10.90708726496315,73873.70204559542
9,2019-05,0.407,10.1577243611819,68798.26709828501
10,2019-06,3.01,11.442936841380261,77503.0112266685
11,2019-07,11.059,13.348026723603553,90406.18499896687
12,2019-08,6.245,11.222535987326951,76010.23624216544
13,2019-09,9.682,10.564088435842688,71550.57097596253
14,2019-10,1.463,10.05441146084441,68098.52882429918
15,2019-11,0.718,11.215648460637786,75963.58702389972
16,2019-12,0.134,10.847854535436324,73472.51876851023
17,2020-01,0.025,11.138508161719127,75441.11577932365
18,2020-02,0.009,13.500929816103039,91441.79764446589
19,2020-03,0.001,12.34244782698533,83595.39913217165
20,2020-04,0.001,11.613747503271576,78659.91183965838
21,2020-05,0.424,9.8629382188856,66801.68055651216
22,2020-06,1.76,10.812039396652661,73229.94283352848
23,2020-07,5.265,9.732075211791445,65915.34540946345
24,2020-08,5.179,9.37530132929265,63498.91590329912
25,2020-09,5.059,9.700392589021282,65700.75900544114
26,2020-10,1.425,9.913905916385426,67146.8847716785
27,2020-11,0.989,9.532336937805635,64562.51807975757
28,2020-12,0.24,10.441490460775535,70720.21489083269
29,2021-01,0.019,10.098491631655072,68397.0838211998
30,2021-02,0.031,10.64260624009918,72082.37206419175
31,2021-03,2.878,12.445760727322819,84295.13740615745
32,2021-04,0.801,10.962187478476478,74246.89579172118
33,2021-05,1.948,12.024244093945864,81440.20524829533
34,2021-06,2.828,11.255596115434948,76234.1524898409
35,2021-07,48.818,11.587574901852744,78482.64481024863
36,2021-08,69.301,10.531028307734692,71326.65472828707
37,2021-09,16.289,10.356085129829879,70141.76458433777
38,2021-10,6.773,9.441421585508644,63946.748398650045
39,2021-11,2.734,9.974516151250086,67557.39789241683
40,2021-12,0.619,9.108065293753013,61688.926234589155
41,2022-01,0.121,10.407052827329705,70486.96879950409
42,2022-02,0.024,10.605413595977685,71830.46628555686
