,Date,Q,SWE,SWE_scaled
0,2018-08,0.043,2.6268253726802553,115114.8429418923
1,2018-09,13.84,3.998707027684819,175234.53833282628
2,2018-10,66.334,3.7800425920292056,165652.05050197747
3,2018-11,80.03,3.828529053848494,167776.8630209918
4,2018-12,16.935,3.3912001825372675,148611.88735929417
5,2019-01,8.986,3.7011332522056586,162194.02228475813
6,2019-02,6.149,3.7391618497109826,163860.54190751447
7,2019-03,3.866,3.5651810161241255,156236.21463340434
8,2019-04,4.98,3.609864618192881,158194.37519014298
9,2019-05,7.504,3.338910860967448,146320.4228780043
10,2019-06,5.874,3.4206723456038945,149903.44006693037
11,2019-07,2.241,2.8074612108305446,123030.8111499848
12,2019-08,0.109,2.6772132643748097,117322.98144204442
13,2019-09,0.124,2.957674170976574,129613.56365987222
14,2019-10,0.015,2.980491329479769,130613.47543352604
15,2019-11,0.158,3.3141922725889867,145237.18512321266
16,2019-12,0.207,3.1516200182537273,138112.81373592946
17,2020-01,0.014,3.1896486157590505,139779.33335868572
18,2020-02,0.105,2.9662306054152725,129988.53057499242
19,2020-03,0.389,3.163979312442957,138654.43261332522
20,2020-04,2.941,3.175387891694554,139154.3885001521
21,2020-05,0.222,3.155422878004259,138279.46569820505
22,2020-06,0.781,3.1307042896257986,137196.22794341345
23,2020-07,0.661,2.9205962884088836,127988.70702768484
24,2020-08,0.071,3.1706343170063893,138946.0735473076
25,2020-09,2.256,3.163028597505324,138612.7696227563
26,2020-10,0.357,2.944364161849711,129030.28179190753
27,2020-11,0.091,3.0004563431700637,131488.39823547308
28,2020-12,0.089,3.133556434438698,137321.21691512017
29,2021-01,0.026,3.680217523577731,161277.43649224218
30,2021-02,0.195,3.3160937024642534,145320.5111043505
31,2021-03,0.004,2.9072862792820198,127405.42515972011
32,2021-04,0.027,2.953871311226042,129446.91169759662
33,2021-05,4.044,3.4415880742318223,150820.02585944632
34,2021-06,4.179,3.453947368421053,151361.64473684214
35,2021-07,7.91,3.1126407058107697,136404.63112260422
36,2021-08,0.101,2.746615454822026,120364.37975357469
37,2021-09,0.14,2.461400973532096,107865.48258290235
38,2021-10,1.845,2.8160176452692425,123405.77806510497
39,2021-11,0.047,3.3008822634621238,144653.90325524798
40,2021-12,0.015,2.9595756008518403,129696.88964101004
41,2022-01,0.02,3.2619029510191666,142945.72064192273
42,2022-02,0.024,2.954822026163675,129488.57468816549
43,2022-03,0.007,2.7779890477639184,121739.25844234866
44,2022-04,0.014,2.6543961058716157,116323.06966839064
45,2022-05,0.073,3.248592941892303,142362.43877395804
46,2022-06,0.0,2.394850927897779,104949.07324307879
47,2022-07,0.014,2.363477334955887,103574.19455430485
48,2022-08,0.531,2.66200182537268,116656.37359294189
49,2022-09,2.371,3.088872832369942,135363.05635838152
50,2022-10,0.478,3.0337313659872223,132946.60290538485
51,2022-11,0.558,3.4073623364770307,149320.15819896563
52,2022-12,0.08,3.4596516580468513,151611.62268025556
53,2023-01,0.066,3.0432385153635533,133363.23281107392
54,2023-02,0.019,3.144014298752662,137779.50981137817
55,2023-03,0.014,3.1316550045634313,137237.89093398236
56,2023-04,0.985,3.406411621539398,149278.49520839675
57,2023-05,2.658,3.5575752966230603,155902.91070885304
58,2023-06,3.029,2.9243991481594156,128155.35898996044
59,2023-07,0.715,2.681966839062975,117531.29639488895
60,2023-08,0.356,2.4490416793428658,107323.86370550655
61,2023-09,0.109,2.745664739884393,120322.71676300578
62,2023-10,0.238,3.377890173410405,148028.6054913295
