,Date,Q,SWE,SWE_scaled
0,2018-08,26.797,4.432129116490965,69464.75964276289
1,2018-09,23.334,3.8807172521077264,60822.481492284394
2,2018-10,20.394,4.758531605483562,74580.46585274386
3,2018-11,19.148,4.30990180146395,67549.0909343445
4,2018-12,19.058,4.702973735016737,73709.70734891732
5,2019-01,28.566,5.39883606261372,84615.95760934483
6,2019-02,41.94,4.0460019167465315,63412.98804116839
7,2019-03,45.729,4.102948733975027,64305.5155075906
8,2019-04,87.815,6.678056030112366,104665.17215995111
9,2019-05,37.48,5.294665055488423,82983.28541467006
10,2019-06,30.262,4.379349139547481,68637.53906412766
11,2019-07,29.683,4.8863147075572595,76583.21041154493
12,2019-08,22.161,4.2557328777587955,66700.1013931136
13,2019-09,17.218,4.244621303665431,66525.9496923483
14,2019-10,2.194,4.246010250427101,66547.71865494396
15,2019-11,0.449,5.0877119879995,79739.70998791615
16,2019-12,23.897,5.4849507618372995,85965.63329027599
17,2020-01,43.009,5.350222925955248,83854.04391849661
18,2020-02,47.235,4.025167715321472,63086.45360223343
19,2020-03,33.146,4.722418989680126,74014.47282525661
20,2020-04,31.537,5.547453366112477,86945.23660708085
21,2020-05,28.315,5.025209383724322,78760.1066711113
22,2020-06,25.356,4.95437309887912,77649.88957873246
23,2020-07,22.942,4.769643179576927,74754.61755350918
24,2020-08,20.947,4.257121824520467,66721.87035570928
25,2020-09,19.235,4.247399197188772,66569.48761753962
26,2020-10,18.278,3.7709904579357474,59102.73344722697
27,2020-11,68.711,5.227995610928233,81938.3752100782
28,2020-12,142.917,5.918302151478534,92757.54962012307
29,2021-01,223.052,5.252996652638305,82330.21653680014
30,2021-02,228.421,5.307165576343459,83179.20607803103
31,2021-03,69.165,4.434907010014307,69508.29756795423
32,2021-04,37.902,4.629359556648193,72555.95233134713
33,2021-05,28.941,4.99881939525258,78346.4963817937
34,2021-06,26.715,5.672458574662833,88904.44324069057
35,2021-07,26.913,4.779365806908621,74907.00029167882
36,2021-08,28.136,4.984929927635873,78128.80675583704
37,2021-09,27.889,4.155728710918511,65132.736086225814
38,2021-10,33.559,4.150172923871828,65045.66023584316
39,2021-11,23.76,4.711307415586761,73840.32112449131
40,2021-12,160.673,7.729488728697029,121144.27684486854
41,2022-01,256.767,6.830840173896134,107059.75804547411
42,2022-02,81.272,5.903023737100157,92518.09103157076
43,2022-03,91.942,4.6668611192133005,73143.71432143006
44,2022-04,240.142,8.037834909787907,125976.98654110587
45,2022-05,105.397,7.532258288539801,118053.0841562843
46,2022-06,50.236,8.035057016264567,125933.44861591456
47,2022-07,29.043,7.230856841257275,113329.21927302527
48,2022-08,31.16,5.634957012097726,88316.68125060767
49,2022-09,26.687,4.596024834368099,72033.49722905121
50,2022-10,24.686,4.625192716363181,72490.64544356015
51,2022-11,263.093,8.371182132588856,131201.53756406516
52,2022-12,180.828,7.371140464186007,115527.88449518729
53,2023-01,98.992,4.754364765198551,74515.15896495688
54,2023-02,359.308,7.0155700931983285,109955.03007069741
55,2023-03,95.735,5.539119685542453,86814.62283150687
56,2023-04,34.844,4.936316790977402,77366.89306498882
57,2023-05,38.532,6.1794241426726115,96850.11458810784
58,2023-06,40.452,5.564120727252524,87206.4641582288
59,2023-07,36.249,5.459949720127227,85573.79196355403
60,2023-08,32.791,4.802977901857021,75277.0726558051
61,2023-09,22.504,4.543244857424615,71206.276650416
62,2023-10,19.994,4.451574371154353,69769.52511910218
63,2023-11,21.191,4.244621303665431,66525.9496923483
64,2023-12,38.029,4.848813144992152,75995.448421462
65,2024-01,73.269,4.676583746544995,73296.0970595997
66,2024-02,29.635,4.296012333847243,67331.40130838784
67,2024-03,20.491,4.1987860605303,65807.57392669139
68,2024-04,35.065,4.784921593955304,74994.07614206149
