,Date,Q,SWE,SWE_scaled
0,2018-08,11.738,1.647167675095263,14140.934490692833
1,2018-09,6.798,1.3099426595731731,11245.857732435692
2,2018-10,4.462,1.5497741688072948,13304.811239210625
3,2018-11,2.824,1.358639412717157,11663.919358176794
4,2018-12,219.603,1.7068211976966434,14653.059982225685
5,2019-01,352.344,1.6788205646388525,14412.674547424549
6,2019-02,816.04,2.5541447024019672,21927.33227012089
7,2019-03,173.824,1.7506482755262294,15029.31544539268
8,2019-04,178.524,1.6702986328386553,14339.513762919856
9,2019-05,111.472,1.6776031458102532,14402.223006781023
10,2019-06,77.133,2.2997041672246503,19742.960275623624
11,2019-07,50.11,2.48596924800039,21342.045994083346
12,2019-08,23.89,1.8297804993852036,15708.665587221973
13,2019-09,12.946,1.6447328374380639,14120.031409405778
14,2019-10,7.612,1.7275173177828367,14830.736173165653
15,2019-11,4.396,1.3732484386603523,11789.337845899125
16,2019-12,3.44,1.2088968967994058,10378.3798590229
17,2020-01,30.575,1.242984624000195,10671.022997041673
18,2020-02,95.066,1.527860629892502,13116.683507627129
19,2020-03,134.848,1.6082102725800758,13806.485190099951
20,2020-04,43.316,1.6082102725800758,13806.485190099951
21,2020-05,83.466,1.8480417818141976,15865.438696874888
22,2020-06,47.83,1.7323869930972353,14872.542335739765
23,2020-07,47.798,2.1268306935635066,18258.841504242704
24,2020-08,18.156,1.374465857488952,11799.789386542652
25,2020-09,15.767,1.457250337833725,12510.49415030253
26,2020-10,9.148,1.239332367514396,10639.668375111089
27,2020-11,5.042,1.1480259553694256,9855.802826846519
28,2020-12,4.996,1.4621200131481233,12552.30031287664
29,2021-01,736.626,2.473795059714394,21237.53058764807
30,2021-02,685.797,1.978305596474355,16983.75354573234
31,2021-03,351.178,1.711690873011042,14694.866144799797
32,2021-04,176.615,1.7786489085840202,15269.700880193814
33,2021-05,92.339,2.1049171546487138,18070.71377265921
34,2021-06,44.067,2.0221326743039407,17360.00900889933
35,2021-07,56.809,1.939348193959168,16649.304245139458
36,2021-08,21.874,1.8139540546134085,15572.795558856113
37,2021-09,20.921,1.757952788497827,15092.024689253845
38,2021-10,10.278,1.3817703704605495,11862.498630403818
39,2021-11,9.062,1.5936012466368803,13681.066702377617
40,2021-12,12.387,1.294116214801378,11109.98770406983
41,2022-01,65.976,1.392727139917946,11956.562496195565
42,2022-02,300.555,1.558296100607492,13377.97202371532
43,2022-03,62.468,1.0603717997102544,9103.291900512535
44,2022-04,208.4,1.300203308944376,11162.245407287468
45,2022-05,228.728,2.0014365542177477,17182.332817959363
46,2022-06,39.148,1.6447328374380639,14120.031409405778
47,2022-07,67.521,2.3082260990248473,19816.121060128313
48,2022-08,24.233,1.5692528700648882,13472.035889507066
49,2022-09,29.937,1.7348218307544345,14893.44541702682
50,2022-10,22.221,1.5741225453792869,13513.842052081178
51,2022-11,14.358,1.5375999805212988,13200.29583277535
52,2022-12,63.82,1.597253503122679,13712.4213243082
53,2023-01,590.483,1.978305596474355,16983.75354573234
54,2023-04,83.26,1.3671613445173543,11737.080142681487
