,Date,Q,SWE,SWE_scaled
0,2018-08,81.273,3.211869242683623,52353.468655743054
1,2018-09,53.31,2.6901442895573493,43849.35191978479
2,2018-10,67.884,2.2336349555718593,36408.24977582131
3,2018-11,211.787,2.3233064318904377,37869.89483981414
4,2018-12,701.875,2.8368794326241136,46241.134751773054
5,2019-01,934.985,2.5678650036683783,41856.199559794564
6,2019-02,1119.013,2.9183989565500936,47569.902991766525
7,2019-03,1389.048,2.747207956305535,44779.489687780224
8,2019-04,1204.292,2.926550908942692,47702.779815765876
9,2019-05,625.576,2.681992337164751,43716.47509578544
10,2019-06,280.59,2.5515610988831825,41590.445911795876
11,2019-07,134.716,2.8124235754463194,45842.50427977501
12,2019-08,57.457,2.8042716230537215,45709.62745577566
13,2019-09,34.793,2.730904051520339,44513.73603978152
14,2019-10,80.916,3.01622238526127,49164.4248797587
