,Date,Q,SWE,SWE_scaled
0,2018-08,7.719,4.347417399069418,176925.54166470835
1,2018-09,9.38,4.483714809418621,182472.3964844668
2,2018-10,97.877,7.768952389904592,316170.7247262302
3,2018-11,17.825,4.817408469239084,196052.62725008224
4,2018-12,20.476,4.6905108802932745,190888.31414203127
5,2019-01,18.22,5.771490341683508,234880.6109883912
6,2019-02,13.348,3.3980354373266906,138288.8287822531
7,2019-03,21.1,4.981905343798468,202747.1072049631
8,2019-04,16.603,4.6905108802932745,190888.31414203127
9,2019-05,323.259,8.770033369365981,356911.4170230765
10,2019-06,89.85,8.187244442355595,333193.83089721296
11,2019-07,17.412,5.729191145368238,233159.17328570754
12,2019-08,12.235,5.522395074493584,224743.25562814303
13,2019-09,7.375,5.691591859754665,231629.00643887764
14,2019-10,9.589,6.405978286412559,260702.17652864597
15,2019-11,6.416,4.737509987310242,192801.0227005687
16,2019-12,6.917,4.356817220472811,177308.08337641583
17,2020-01,9.371,5.433096771161348,221109.10936692203
18,2020-02,12.968,5.733891056069935,233350.4441415613
19,2020-03,16.932,5.160501950462941,210015.39972740517
20,2020-04,11.523,5.216900878883301,212310.64999765003
21,2020-05,8.912,4.253419185035484,173100.12454763358
22,2020-06,5.554,4.784509094327208,194713.73125910608
23,2020-07,19.495,4.1876204352117306,170422.33256568122
24,2020-08,15.011,4.253419185035484,173100.12454763358
25,2020-09,4.527,3.069041688207924,124899.86887249141
26,2020-10,5.578,3.252338205574094,132359.43225078724
27,2020-11,11.979,5.4800958781783145,223021.81792545939
28,2020-12,11.822,5.447196503266438,221682.92193448325
29,2021-01,16.807,5.348498378530808,217666.2339615547
30,2021-02,12.55,4.262819006438877,173482.66625934106
31,2021-03,38.488,6.222681769046388,253242.6131503501
32,2021-04,17.025,4.323917845560935,175969.1873854397
33,2021-05,17.206,4.323917845560935,175969.1873854397
34,2021-06,47.653,4.7986088264322975,195287.54382666727
35,2021-07,26.637,4.201720167316822,170996.14513324248
36,2021-08,5.513,3.125440616628284,127195.11914273628
37,2021-09,1.718,2.7212482962823707,110745.82553931476
38,2021-10,5.962,4.333317666964328,176351.72909714718
39,2021-11,3.55,4.544813648540678,184958.91761056538
40,2021-12,3.367,2.5144522254077173,102329.90788175024
41,2022-01,3.65,2.2418574047093105,91236.1982422334
42,2022-02,4.238,1.9410631198007238,78994.86346759411
43,2022-03,4.559,4.8879071297645345,198921.6900878883
44,2022-04,3.054,2.7024486534755843,109980.7421158998
45,2022-05,10.309,7.228462659209475,294174.5763030502
46,2022-06,6.46,5.226300700286695,212693.19170935752
47,2022-07,0.938,3.7129294543403675,151103.97612445362
48,2022-08,1.454,2.420454011373784,98504.49076467547
49,2022-09,0.73,2.8011467782112143,113997.43008882832
50,2022-10,0.633,3.3322366875029372,135611.0368003008
51,2022-11,1.586,3.900925882408234,158754.81035860316
52,2022-12,2.373,2.871645438736664,116866.49292663438
53,2023-01,1.817,2.735348028387461,111319.63810687598
54,2023-02,2.199,2.5567514217229874,104051.34558443389
55,2023-03,2.076,2.6131503501433473,106346.59585467876
56,2023-04,2.449,2.0162616910278706,82055.19716125393
57,2023-05,4.876,2.9938431169807775,121839.5351788316
58,2023-06,28.734,5.846688912910655,237940.94468205102
59,2023-07,32.056,5.043004182920525,205233.62833106171
60,2023-08,8.986,4.822108379940781,196243.89810593598
61,2023-09,5.966,2.392254547163604,97356.86562955304
62,2023-10,3.784,4.229919631527001,172143.7702683649
63,2023-11,3.126,3.7975278469709077,154546.85152982094
