,Date,Q,SWE,SWE_scaled
0,2018-08,77.168,2.3712642065385157,17134.99228286797
1,2018-09,64.279,3.0868528132454047,22305.90711379262
2,2018-10,137.958,2.8763855759786727,20785.049810579487
3,2018-11,224.448,2.2870773116318226,16526.649361582713
4,2018-12,315.641,2.8763855759786727,20785.049810579487
5,2019-01,246.904,2.5256068472007858,18250.2876385576
6,2019-02,286.748,1.9924231794583975,14397.449137084328
7,2019-03,205.964,2.3432019082362845,16932.211309106217
8,2019-04,190.544,2.7080117861652866,19568.36396800898
9,2019-05,121.461,3.269257752209906,23623.983443244004
10,2019-06,126.048,3.4937561386277536,25246.23123333801
11,2019-07,69.258,3.858566016556756,27882.383892240778
12,2019-08,56.232,3.7182545250456016,26868.479023432024
13,2019-09,37.33,3.6901922267433704,26665.69804967027
14,2019-10,41.545,3.788410270801178,27375.431457836396
15,2019-11,82.251,3.199102006454329,23117.03100883963
16,2019-12,152.262,3.634067630138908,26260.136102146764
17,2020-01,190.124,2.6939806370141715,19466.973481128105
18,2020-02,349.586,2.5957625929563632,18757.240072961977
19,2020-03,154.902,2.974603620036481,21494.783218745615
20,2020-04,150.24,3.5358495860811003,25550.40269398064
21,2020-05,280.702,2.6378560404097096,19061.4115336046
22,2020-06,113.324,2.960572470885366,21393.392731864744
23,2020-07,80.538,3.549880735232216,25651.793180861518
24,2020-08,127.937,2.567700294654132,18554.459099200223
25,2020-09,108.208,3.2131331556054437,23218.421495720497
26,2020-10,143.694,3.3674757962677146,24333.716851410136
27,2020-11,220.616,2.94654132173425,21292.002244983865
28,2020-12,161.159,2.6939806370141715,19466.973481128105
29,2021-01,155.313,2.2870773116318226,16526.649361582713
30,2021-02,210.879,2.820260979374211,20379.487863055987
31,2021-03,245.306,2.385295355689631,17236.38276974884
32,2021-04,157.753,3.4656938403255224,25043.45025957626
33,2021-05,107.741,3.9427529114634483,28490.726813526024
34,2021-06,77.437,3.171039708152098,22914.250035077876
35,2021-07,68.225,3.0868528132454047,22305.90711379262
36,2021-08,72.427,2.6378560404097096,19061.4115336046
37,2021-09,48.573,3.1008839623965203,22407.297600673497
38,2021-10,73.194,3.0026659183387117,21697.564192507365
39,2021-11,50.885,1.8801739862494737,13586.325242037323
40,2021-12,51.071,3.2973200505121367,23826.764417005754
41,2022-01,96.094,2.9044478742809035,20987.830784341237
42,2022-02,83.858,2.8763855759786727,20785.049810579487
43,2022-03,142.196,3.0868528132454047,22305.90711379262
44,2022-04,125.443,3.030728216640943,21900.34516626912
45,2022-05,74.683,3.1289462606987515,22610.07857443525
46,2022-06,42.385,3.114915111547636,22508.688087554372
47,2022-07,46.326,3.858566016556756,27882.383892240778
48,2022-08,40.851,3.353444647116599,24232.326364529257
49,2022-09,46.687,3.2973200505121367,23826.764417005754
50,2022-10,28.192,3.1008839623965203,22407.297600673497
51,2022-11,50.313,2.8062298302230952,20278.09737617511
52,2022-12,111.678,2.8342921285253264,20480.878349936862
53,2023-01,174.285,3.1429774098498666,22711.469061316122
